Thương hiệu,Model,Tình trạng,Số Km đã đi,Xuất xứ,Kiểu dáng,Hộp số,Số chỗ ngồi,Số cửa,Dẫn động,Giá thành,Loại nhiên liệu,Dung tích động cơ,Đơn vị động cơ,Tuổi
Suzuki,Swift,Used,25000,Imported,Hatchback,Automatic,5,5,FWD - Front Wheel Drive,458,Gas ,1.2,L,2
Ford,Territory,New,0,Domestic,SUV,Automatic,5,5,FWD - Front Wheel Drive,829,Gas ,1.5,L,0
Ford,Explorer,New,0,Imported,SUV,Automatic,7,5,Full Time 4 Wheel Drive,2249,Gas ,2.3,L,0
Hyundai,Tucson,Used,39999,Domestic,Crossover,Automatic,5,5,FWD - Front Wheel Drive,523,Gas ,1.6,L,4
Mercedes Benz,GLC,Used,9900,Domestic,SUV,Automatic,5,5,Full Time 4 Wheel Drive,299,Gas ,2.0,L,1
Mitsubishi,Triton,New,0,Imported,Bán tải / Pickup,Automatic,5,4,4WD - 4 Wheel Drive,799,Diesel ,2.4,L,0
Chevrolet,Aveo,Used,87000,Domestic,Sedan,Automatic,5,4,FWD - Front Wheel Drive,225,Gas ,1.5,L,7
Hyundai,Accent,New,0,Domestic,Sedan,Automatic,5,4,FWD - Front Wheel Drive,503,Gas ,1.4,L,0
Mazda,CX5,Used,86000,Domestic,SUV,Automatic,5,5,FWD - Front Wheel Drive,519,Gas ,2.5,L,7
VinFast,Fadil,Used,50000,Domestic,Hatchback,Automatic,5,5,FWD - Front Wheel Drive,335,Gas ,1.4,L,3
Kia,Sedona,Used,61000,Domestic,Van/Minivan,Automatic,7,5,FWD - Front Wheel Drive,950,Diesel ,2.2,L,3
Hyundai,Kona,Used,19000,Domestic,Crossover,Automatic,5,5,FWD - Front Wheel Drive,510,Gas ,2.0,L,3
Toyota,Vios,Used,42000,Domestic,Sedan,Automatic,5,4,FWD - Front Wheel Drive,499,Gas ,1.5,L,1
Kia,Sonet,Used,36613,Domestic,Crossover,Automatic,5,5,FWD - Front Wheel Drive,530,Gas ,1.5,L,2
Mitsubishi,Outlander,Used,26900,Domestic,SUV,Automatic,7,5,FWD - Front Wheel Drive,695,Gas ,2.0,L,3
Mazda,3,Used,48000,Domestic,Sedan,Automatic,5,4,FWD - Front Wheel Drive,565,Gas ,1.5,L,2
Mazda,3,Used,54000,Domestic,Sedan,Automatic,5,4,FWD - Front Wheel Drive,579,Gas ,1.5,L,1
Mercedes Benz,GLC,Used,0,Domestic,SUV,Automatic,5,5,Full Time 4 Wheel Drive,1799,Gas ,2.0,L,2
Mazda,CX5,Used,36000,Domestic,SUV,Automatic,5,5,FWD - Front Wheel Drive,588,Gas ,2.5,L,5
Ford,Everest,Used,88000,Imported,SUV,Automatic,7,5,RFD - Rear Wheel Drive,950,Diesel ,2.0,L,2
Ford,Everest,Used,68000,Imported,SUV,Automatic,7,5,RFD - Rear Wheel Drive,715,Diesel ,2.0,L,4
Toyota,Vios,Used,42000,Domestic,Sedan,Automatic,5,4,FWD - Front Wheel Drive,479,Gas ,1.5,L,2
Honda,City,Used,20000,Domestic,Sedan,Automatic,5,4,FWD - Front Wheel Drive,506,Gas ,1.5,L,2
Toyota,Innova,Used,97000,Domestic,Crossover,Manual,8,5,RFD - Rear Wheel Drive,479,Gas ,2.0,L,5
Mazda,3,Used,2436,Domestic,SUV,Automatic,5,5,FWD - Front Wheel Drive,815,Gas ,2.0,L,0
VinFast,Lux A 2.0,Used,61000,Domestic,Sedan,Automatic,5,4,RFD - Rear Wheel Drive,550,Gas ,2.0,L,3
Hyundai,SantaFe,Used,61000,Domestic,SUV,Automatic,7,5,Full Time 4 Wheel Drive,180,Diesel ,2.2,L,2
Honda,CRV,Used,42000,Domestic,SUV,Automatic,7,5,FWD - Front Wheel Drive,820,Gas ,1.5,L,2
Ford,Ranger,Used,8500,Domestic,Bán tải / Pickup,Automatic,5,4,RFD - Rear Wheel Drive,599,Diesel ,2.2,L,1
